total_generations,population_size,givens,generation_stop,fitness,select,crossover,mutation,time
250,1000,30,250,2,fps,single_point_co,swap_mutation,0:02:55.947173
250,1000,30,250,2,fps,single_point_co,swap_mutation,0:04:12.737511
250,1000,30,250,5,fps,single_point_co,swap_mutation,0:03:30.229883
250,1000,30,111,0,fps,single_point_co,swap_mutation,0:01:39.031201
250,1000,30,185,0,fps,single_point_co,swap_mutation,0:03:29.787251
250,1000,30,250,2,fps,single_point_co,swap_mutation,0:06:16.442464
250,1000,30,250,4,fps,single_point_co,swap_mutation,0:06:57.775568
250,1000,30,117,0,fps,single_point_co,swap_mutation,0:03:11.687915
250,1000,30,250,2,fps,single_point_co,swap_mutation,0:04:59.800645
250,1000,30,250,4,fps,single_point_co,swap_mutation,0:03:29.744350
250,1000,30,131,0,fps,single_point_co,swap_mutation,0:01:50.223049
250,1000,30,250,2,fps,single_point_co,swap_mutation,0:04:24.882753
250,1000,30,250,4,fps,single_point_co,swap_mutation,0:05:04.845134
250,1000,30,250,2,fps,single_point_co,swap_mutation,0:04:54.226208
250,1000,30,208,0,fps,single_point_co,swap_mutation,0:04:05.202594
250,1000,30,250,6,fps,single_point_co,swap_mutation,0:04:27.931831
250,1000,30,98,0,fps,single_point_co,swap_mutation,0:01:36.980666
250,1000,30,250,2,fps,single_point_co,swap_mutation,0:04:03.335127
250,1000,30,250,2,fps,single_point_co,swap_mutation,0:04:00.651584
250,1000,30,250,4,fps,single_point_co,swap_mutation,0:03:58.077610
250,1000,30,102,0,fps,single_point_co,swap_mutation,0:01:33.809525
250,1000,30,250,8,fps,single_point_co,swap_mutation,0:03:55.932650
250,1000,30,250,2,fps,single_point_co,swap_mutation,0:04:10.078607
250,1000,30,250,4,fps,single_point_co,swap_mutation,0:03:28.177901
250,1000,30,250,4,fps,single_point_co,swap_mutation,0:02:36.777013
250,1000,30,100,0,fps,two_points_co,swap_mutation,0:01:12.430454
250,1000,30,250,4,fps,two_points_co,swap_mutation,0:04:14.295744
250,1000,30,250,8,fps,two_points_co,swap_mutation,0:03:30.653711
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:04:03.991627
250,1000,30,250,6,fps,two_points_co,swap_mutation,0:06:13.956950
250,1000,30,119,0,fps,two_points_co,swap_mutation,0:03:10.689692
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:07:02.567113
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:05:13.676053
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:03:30.810857
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:03:30.084555
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:04:46.544196
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:04:57.661208
250,1000,30,250,4,fps,two_points_co,swap_mutation,0:04:53.511456
250,1000,30,144,0,fps,two_points_co,swap_mutation,0:02:42.629464
250,1000,30,250,4,fps,two_points_co,swap_mutation,0:04:18.499394
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:04:00.373093
250,1000,30,250,4,fps,two_points_co,swap_mutation,0:03:58.703796
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:03:52.441016
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:03:49.675538
250,1000,30,250,4,fps,two_points_co,swap_mutation,0:03:53.227920
250,1000,30,250,4,fps,two_points_co,swap_mutation,0:04:07.111505
250,1000,30,250,4,fps,two_points_co,swap_mutation,0:03:21.896480
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:02:37.291608
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:02:18.801529
250,1000,30,250,2,fps,two_points_co,swap_mutation,0:02:20.644466
250,1000,30,229,0,fps,uniform_co,swap_mutation,0:02:48.873813
250,1000,30,124,0,fps,uniform_co,swap_mutation,0:02:13.501934
250,1000,30,250,2,fps,uniform_co,swap_mutation,0:03:40.844229
250,1000,30,173,0,fps,uniform_co,swap_mutation,0:02:36.832020
250,1000,30,250,4,fps,uniform_co,swap_mutation,0:04:42.070690
250,1000,30,250,2,fps,uniform_co,swap_mutation,0:06:27.306602
250,1000,30,250,7,fps,uniform_co,swap_mutation,0:06:57.651460
250,1000,30,178,0,fps,uniform_co,swap_mutation,0:04:22.973812
250,1000,30,250,3,fps,uniform_co,swap_mutation,0:04:20.329633
250,1000,30,250,4,fps,uniform_co,swap_mutation,0:03:34.055778
250,1000,30,133,0,fps,uniform_co,swap_mutation,0:01:54.894478
250,1000,30,250,4,fps,uniform_co,swap_mutation,0:04:53.987651
250,1000,30,111,0,fps,uniform_co,swap_mutation,0:02:19.352956
250,1000,30,250,4,fps,uniform_co,swap_mutation,0:04:48.352109
250,1000,30,250,2,fps,uniform_co,swap_mutation,0:04:55.250830
250,1000,30,250,6,fps,uniform_co,swap_mutation,0:04:25.746861
250,1000,30,203,0,fps,uniform_co,swap_mutation,0:03:16.614642
250,1000,30,250,2,fps,uniform_co,swap_mutation,0:03:56.446822
250,1000,30,122,0,fps,uniform_co,swap_mutation,0:01:54.750485
250,1000,30,250,2,fps,uniform_co,swap_mutation,0:03:53.408053
250,1000,30,250,4,fps,uniform_co,swap_mutation,0:03:48.209573
250,1000,30,250,4,fps,uniform_co,swap_mutation,0:04:02.814454
250,1000,30,96,0,fps,uniform_co,swap_mutation,0:01:35.352477
250,1000,30,112,0,fps,uniform_co,swap_mutation,0:01:51.870198
250,1000,30,250,2,fps,uniform_co,swap_mutation,0:03:10.058669
250,1000,30,250,2,rank,single_point_co,swap_mutation,0:01:40.380705
250,1000,30,250,2,rank,single_point_co,swap_mutation,0:02:39.096458
