total_generations,population_size,givens,generation_stop,fitness,select,crossover,mutation,time
350,1000,38,30,0,rank,single_point_co,swap_mutation,0:00:18.706599
350,1000,38,36,0,rank,single_point_co,swap_mutation,0:00:20.436019
350,1000,38,56,0,rank,single_point_co,swap_mutation,0:00:29.586354
350,1000,38,45,0,rank,single_point_co,swap_mutation,0:00:24.524566
350,1000,38,36,0,rank,single_point_co,swap_mutation,0:00:21.656525
350,1000,38,37,0,rank,single_point_co,swap_mutation,0:00:17.290973
350,1000,38,43,0,rank,single_point_co,swap_mutation,0:00:22.273761
350,1000,38,61,0,rank,single_point_co,swap_mutation,0:00:29.700184
350,1000,38,47,0,rank,single_point_co,swap_mutation,0:00:20.494383
350,1000,38,56,0,rank,single_point_co,swap_mutation,0:00:23.437678
350,1000,38,51,0,rank,single_point_co,swap_mutation,0:00:22.243979
350,1000,38,43,0,rank,single_point_co,swap_mutation,0:00:17.757245
350,1000,38,46,0,rank,single_point_co,swap_mutation,0:00:20.324139
350,1000,38,58,0,rank,single_point_co,swap_mutation,0:00:25.945283
350,1000,38,38,0,rank,single_point_co,swap_mutation,0:00:16.333422
350,1000,38,350,2,rank,single_point_co,swap_mutation,0:02:40.677984
350,1000,38,57,0,rank,single_point_co,swap_mutation,0:00:26.616677
350,1000,38,350,5,rank,single_point_co,swap_mutation,0:02:42.424654
350,1000,38,58,0,rank,single_point_co,swap_mutation,0:00:25.412965
350,1000,38,51,0,rank,single_point_co,swap_mutation,0:00:22.221211
350,1000,38,36,0,rank,single_point_co,swap_mutation,0:00:18.422678
350,1000,38,350,2,rank,single_point_co,swap_mutation,0:02:50.095932
350,1000,38,49,0,rank,single_point_co,swap_mutation,0:00:25.396281
350,1000,38,84,0,rank,single_point_co,swap_mutation,0:00:46.926188
350,1000,38,40,0,rank,single_point_co,swap_mutation,0:00:22.132803
350,1000,38,45,0,rank,single_point_co,swap_mutation,0:00:25.378331
350,1000,38,42,0,rank,single_point_co,swap_mutation,0:00:24.957351
350,1000,38,32,0,rank,single_point_co,swap_mutation,0:00:19.254001
350,1000,38,95,0,rank,single_point_co,swap_mutation,0:00:57.571252
350,1000,38,49,0,rank,single_point_co,swap_mutation,0:00:30.112940
350,1000,38,65,0,rank,single_point_co,swap_mutation,0:00:42.105688
350,1000,38,56,0,rank,single_point_co,swap_mutation,0:00:35.377118
350,1000,38,39,0,rank,single_point_co,swap_mutation,0:00:25.695635
350,1000,38,50,0,rank,single_point_co,swap_mutation,0:00:32.382846
350,1000,38,65,0,rank,single_point_co,swap_mutation,0:00:41.376353
350,1000,38,32,0,rank,single_point_co,swap_mutation,0:00:19.033981
350,1000,38,34,0,rank,single_point_co,swap_mutation,0:00:19.415899
350,1000,38,74,0,rank,single_point_co,swap_mutation,0:00:56.322030
350,1000,38,34,0,rank,single_point_co,swap_mutation,0:00:23.966628
350,1000,38,41,0,rank,single_point_co,swap_mutation,0:00:28.212914
350,1000,38,70,0,rank,single_point_co,swap_mutation,0:00:48.561530
350,1000,38,114,0,rank,single_point_co,swap_mutation,0:01:20.532782
350,1000,38,80,0,rank,single_point_co,swap_mutation,0:01:02.312484
350,1000,38,33,0,rank,single_point_co,swap_mutation,0:00:16.502471
350,1000,38,63,0,rank,single_point_co,swap_mutation,0:00:31.853079
350,1000,38,350,2,rank,single_point_co,swap_mutation,0:02:47.308868
350,1000,38,37,0,rank,single_point_co,swap_mutation,0:00:17.913429
350,1000,38,47,0,rank,single_point_co,swap_mutation,0:00:21.271534
350,1000,38,26,0,rank,single_point_co,swap_mutation,0:00:13.645197
350,1000,38,143,0,rank,single_point_co,swap_mutation,0:01:12.351022
350,1000,38,28,0,rank,single_point_co,swap_mutation,0:00:14.595421
350,1000,38,67,0,rank,single_point_co,swap_mutation,0:00:33.648696
350,1000,38,48,0,rank,single_point_co,swap_mutation,0:00:22.757163
350,1000,38,38,0,rank,single_point_co,swap_mutation,0:00:19.977212
350,1000,38,99,0,rank,single_point_co,swap_mutation,0:00:46.892970
350,1000,38,34,0,rank,single_point_co,swap_mutation,0:00:17.255382
350,1000,38,32,0,rank,single_point_co,swap_mutation,0:00:19.291781
350,1000,38,132,0,rank,single_point_co,swap_mutation,0:01:14.965406
350,1000,38,86,0,rank,single_point_co,swap_mutation,0:00:44.191526
350,1000,38,35,0,rank,single_point_co,swap_mutation,0:00:16.907789
350,1000,38,57,0,rank,single_point_co,swap_mutation,0:00:25.195449
