total_generations,population_size,givens,generation_stop,fitness,select,crossover,mutation,time
350,1000,33,50,0,rank,single_point_co,swap_mutation,0:00:24.959137
350,1000,33,45,0,rank,single_point_co,swap_mutation,0:00:22.574294
350,1000,33,91,0,rank,single_point_co,swap_mutation,0:00:48.313751
350,1000,33,34,0,rank,single_point_co,swap_mutation,0:00:18.273765
350,1000,33,59,0,rank,single_point_co,swap_mutation,0:00:31.525672
350,1000,33,57,0,rank,single_point_co,swap_mutation,0:00:30.770538
350,1000,33,101,0,rank,single_point_co,swap_mutation,0:00:52.107500
350,1000,33,34,0,rank,single_point_co,swap_mutation,0:00:17.858343
350,1000,33,53,0,rank,single_point_co,swap_mutation,0:00:30.374574
350,1000,33,35,0,rank,single_point_co,swap_mutation,0:00:19.535269
350,1000,33,49,0,rank,single_point_co,swap_mutation,0:00:28.982037
350,1000,33,46,0,rank,single_point_co,swap_mutation,0:00:28.075527
350,1000,33,50,0,rank,single_point_co,swap_mutation,0:00:30.188906
350,1000,33,51,0,rank,single_point_co,swap_mutation,0:00:32.433768
350,1000,33,49,0,rank,single_point_co,swap_mutation,0:00:32.131882
350,1000,33,60,0,rank,single_point_co,swap_mutation,0:00:31.290959
350,1000,33,350,7,rank,single_point_co,swap_mutation,0:02:58.915120
350,1000,33,41,0,rank,single_point_co,swap_mutation,0:00:22.857397
350,1000,33,127,0,rank,single_point_co,swap_mutation,0:01:08.220612
350,1000,33,44,0,rank,single_point_co,swap_mutation,0:00:19.448604
350,1000,33,40,0,rank,single_point_co,swap_mutation,0:00:19.534873
350,1000,33,55,0,rank,single_point_co,swap_mutation,0:00:30.698762
350,1000,33,350,4,rank,single_point_co,swap_mutation,0:03:23.684259
350,1000,33,46,0,rank,single_point_co,swap_mutation,0:00:26.346747
350,1000,33,56,0,rank,single_point_co,swap_mutation,0:00:31.382350
350,1000,33,52,0,rank,single_point_co,swap_mutation,0:00:32.564888
350,1000,33,47,0,rank,single_point_co,swap_mutation,0:00:26.012167
350,1000,33,148,0,rank,single_point_co,swap_mutation,0:01:21.719303
350,1000,33,66,0,rank,single_point_co,swap_mutation,0:00:41.319876
350,1000,33,46,0,rank,single_point_co,swap_mutation,0:00:29.692546
350,1000,33,50,0,rank,single_point_co,swap_mutation,0:00:32.849308
350,1000,33,64,0,rank,single_point_co,swap_mutation,0:00:40.362693
350,1000,33,58,0,rank,single_point_co,swap_mutation,0:00:35.880941
350,1000,33,48,0,rank,single_point_co,swap_mutation,0:00:29.293212
350,1000,33,56,0,rank,single_point_co,swap_mutation,0:00:32.371791
350,1000,33,129,0,rank,single_point_co,swap_mutation,0:01:15.251829
350,1000,33,44,0,rank,single_point_co,swap_mutation,0:00:24.834461
350,1000,33,57,0,rank,single_point_co,swap_mutation,0:00:32.969177
350,1000,33,350,4,rank,single_point_co,swap_mutation,0:03:22.043417
350,1000,33,65,0,rank,single_point_co,swap_mutation,0:00:37.812781
350,1000,33,154,0,rank,single_point_co,swap_mutation,0:01:29.221182
