total_generations,population_size,givens,generation_stop,fitness,select,crossover,mutation,time
250,1000,33,115,0,fps,single_point_co,swap_mutation,0:02:03.671756
250,1000,33,122,0,fps,single_point_co,swap_mutation,0:02:04.083084
250,1000,33,90,0,fps,single_point_co,swap_mutation,0:02:11.806489
250,1000,33,117,0,fps,single_point_co,swap_mutation,0:02:15.632740
250,1000,33,104,0,fps,single_point_co,swap_mutation,0:01:58.524406
250,1000,33,138,0,fps,single_point_co,swap_mutation,0:02:27.351018
250,1000,33,111,0,fps,single_point_co,swap_mutation,0:02:09.672073
250,1000,33,250,2,fps,single_point_co,swap_mutation,0:03:32.734924
250,1000,33,109,0,fps,single_point_co,swap_mutation,0:01:18.545558
250,1000,33,250,4,fps,single_point_co,swap_mutation,0:03:03.919093
250,1000,33,79,0,fps,single_point_co,swap_mutation,0:00:53.681134
250,1000,33,162,0,fps,single_point_co,swap_mutation,0:01:48.077014
250,1000,33,97,0,fps,single_point_co,swap_mutation,0:01:05.432815
250,1000,33,95,0,fps,single_point_co,swap_mutation,0:01:02.947831
250,1000,33,84,0,fps,single_point_co,swap_mutation,0:00:57.809693
250,1000,33,136,0,fps,single_point_co,swap_mutation,0:01:45.267999
250,1000,33,97,0,fps,single_point_co,swap_mutation,0:01:13.046592
250,1000,33,123,0,fps,single_point_co,swap_mutation,0:01:36.060096
250,1000,33,250,6,fps,single_point_co,swap_mutation,0:03:05.089337
250,1000,33,109,0,fps,single_point_co,swap_mutation,0:01:11.335960
250,1000,33,90,0,fps,single_point_co,swap_mutation,0:01:00.018211
250,1000,33,216,0,fps,single_point_co,swap_mutation,0:02:21.119157
250,1000,33,102,0,fps,single_point_co,swap_mutation,0:01:06.248344
250,1000,33,107,0,fps,single_point_co,swap_mutation,0:01:08.027678
250,1000,33,74,0,fps,single_point_co,swap_mutation,0:00:47.667869
250,1000,33,250,4,fps,two_points_co,swap_mutation,0:03:44.718628
250,1000,33,158,0,fps,two_points_co,swap_mutation,0:03:16.775306
250,1000,33,250,5,fps,two_points_co,swap_mutation,0:04:52.082253
250,1000,33,140,0,fps,two_points_co,swap_mutation,0:02:32.530223
250,1000,33,170,0,fps,two_points_co,swap_mutation,0:03:11.994699
250,1000,33,189,0,fps,two_points_co,swap_mutation,0:02:32.724856
250,1000,33,109,0,fps,two_points_co,swap_mutation,0:01:19.948689
250,1000,33,250,2,fps,two_points_co,swap_mutation,0:02:59.110781
250,1000,33,93,0,fps,two_points_co,swap_mutation,0:01:02.980033
250,1000,33,130,0,fps,two_points_co,swap_mutation,0:01:26.606331
250,1000,33,106,0,fps,two_points_co,swap_mutation,0:01:12.254753
250,1000,33,250,4,fps,two_points_co,swap_mutation,0:02:48.855072
250,1000,33,80,0,fps,two_points_co,swap_mutation,0:00:55.441182
250,1000,33,170,0,fps,two_points_co,swap_mutation,0:02:10.367880
250,1000,33,116,0,fps,two_points_co,swap_mutation,0:01:28.404759
250,1000,33,250,4,fps,two_points_co,swap_mutation,0:03:11.200578
250,1000,33,202,0,fps,two_points_co,swap_mutation,0:02:13.603065
250,1000,33,250,2,fps,two_points_co,swap_mutation,0:02:45.435275
250,1000,33,142,0,fps,two_points_co,swap_mutation,0:01:32.555575
250,1000,33,142,0,fps,two_points_co,swap_mutation,0:01:30.216201
250,1000,33,114,0,fps,two_points_co,swap_mutation,0:01:11.546637
250,1000,33,250,4,fps,two_points_co,swap_mutation,0:02:32.865738
250,1000,33,94,0,fps,two_points_co,swap_mutation,0:00:58.697372
250,1000,33,250,2,fps,two_points_co,swap_mutation,0:02:41.404725
250,1000,33,133,0,fps,two_points_co,swap_mutation,0:01:30.856657
250,1000,33,73,0,fps,uniform_co,swap_mutation,0:01:27.007144
250,1000,33,94,0,fps,uniform_co,swap_mutation,0:01:52.318781
250,1000,33,109,0,fps,uniform_co,swap_mutation,0:02:28.454595
250,1000,33,250,2,fps,uniform_co,swap_mutation,0:04:44.174825
250,1000,33,250,4,fps,uniform_co,swap_mutation,0:04:36.555570
250,1000,33,121,0,fps,uniform_co,swap_mutation,0:01:27.097232
250,1000,33,131,0,fps,uniform_co,swap_mutation,0:01:27.114725
250,1000,33,121,0,fps,uniform_co,swap_mutation,0:01:22.070580
250,1000,33,92,0,fps,uniform_co,swap_mutation,0:01:01.690720
250,1000,33,250,5,fps,uniform_co,swap_mutation,0:02:55.558295
250,1000,33,159,0,fps,uniform_co,swap_mutation,0:02:03.969445
250,1000,33,159,0,fps,uniform_co,swap_mutation,0:02:02.906759
250,1000,33,250,4,fps,uniform_co,swap_mutation,0:03:07.729221
250,1000,33,250,4,fps,uniform_co,swap_mutation,0:02:45.175088
