total_generations,population_size,givens,generation_stop,fitness,select,crossover,mutation,time
350,1000,30,52,0,rank,single_point_co,swap_mutation,0:00:39.516215
350,1000,30,54,0,rank,single_point_co,swap_mutation,0:00:40.005700
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:04:12.348938
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:04:16.332724
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:04:02.327334
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:27.212987
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:21.729416
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:24.311795
350,1000,30,45,0,rank,single_point_co,swap_mutation,0:00:28.284991
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:23.834940
350,1000,30,39,0,rank,single_point_co,swap_mutation,0:00:23.035815
350,1000,30,41,0,rank,single_point_co,swap_mutation,0:00:24.072010
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:21.774243
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:17.660572
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:21.617490
350,1000,30,224,0,rank,single_point_co,swap_mutation,0:02:11.401081
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:34.111741
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:04:08.470253
350,1000,30,58,0,rank,single_point_co,swap_mutation,0:00:42.734906
350,1000,30,350,6,rank,single_point_co,swap_mutation,0:03:55.317862
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:20.049887
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:17.049617
350,1000,30,49,0,rank,single_point_co,swap_mutation,0:00:28.149439
350,1000,30,53,0,rank,single_point_co,swap_mutation,0:00:28.910228
350,1000,30,54,0,rank,single_point_co,swap_mutation,0:00:28.518286
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:13.926032
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:03.899968
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:14.562511
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:04:14.644690
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:55.548432
350,1000,30,47,0,rank,single_point_co,swap_mutation,0:00:30.118170
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:38.228776
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:34.093518
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:35.168896
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:32.562666
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:14.753642
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:42.620867
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:55.856766
350,1000,30,241,0,rank,single_point_co,swap_mutation,0:02:13.459259
350,1000,30,350,6,rank,single_point_co,swap_mutation,0:03:02.015970
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:33.372396
350,1000,30,68,0,rank,single_point_co,swap_mutation,0:00:40.507050
350,1000,30,250,0,rank,single_point_co,swap_mutation,0:02:19.417214
350,1000,30,64,0,rank,single_point_co,swap_mutation,0:00:37.056624
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:02.065960
350,1000,30,267,0,rank,single_point_co,swap_mutation,0:02:30.171469
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:09.112283
350,1000,30,350,6,rank,single_point_co,swap_mutation,0:02:46.288082
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:00.587989
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:03.647988
350,1000,30,350,6,rank,single_point_co,swap_mutation,0:02:52.560513
350,1000,30,77,0,rank,single_point_co,swap_mutation,0:00:43.059039
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:05.709562
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:02:52.726904
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:02:50.074589
350,1000,30,350,9,rank,single_point_co,swap_mutation,0:03:16.807623
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:00.137824
350,1000,30,116,0,rank,single_point_co,swap_mutation,0:00:57.512287
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:10.576387
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:02.103372
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:33.676641
350,1000,30,55,0,rank,single_point_co,swap_mutation,0:00:31.349806
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:21.844131
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:17.336978
350,1000,30,350,7,rank,single_point_co,swap_mutation,0:03:09.028609
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:01.268463
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:07.303782
350,1000,30,60,0,rank,single_point_co,swap_mutation,0:00:39.498909
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:04:16.733262
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:53.745872
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:37.352439
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:34.505584
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:41.197139
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:33.324485
350,1000,30,75,0,rank,single_point_co,swap_mutation,0:00:45.391955
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:21.028696
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:56.443582
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:42.630669
350,1000,30,45,0,rank,single_point_co,swap_mutation,0:00:24.916858
350,1000,30,350,6,rank,single_point_co,swap_mutation,0:03:10.746319
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:32.053683
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:22.693994
350,1000,30,350,6,rank,single_point_co,swap_mutation,0:03:08.376073
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:02:57.506342
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:03:03.221417
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:02:51.771829
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:02:56.671182
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:02:59.090169
350,1000,30,245,0,rank,single_point_co,swap_mutation,0:02:10.933017
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:02:55.287608
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:12.884383
350,1000,30,350,4,rank,single_point_co,swap_mutation,0:02:57.090073
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:02:50.441344
350,1000,30,69,0,rank,single_point_co,swap_mutation,0:00:32.228559
350,1000,30,39,0,rank,single_point_co,swap_mutation,0:00:16.145434
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:06.995143
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:02:56.369268
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:08.438393
350,1000,30,350,2,rank,single_point_co,swap_mutation,0:03:03.467457
350,1000,30,139,0,rank,single_point_co,swap_mutation,0:01:08.901950
350,1000,30,151,0,fps,uniform_co,swap_mutation,0:02:26.046105
350,1000,30,350,4,fps,uniform_co,swap_mutation,0:05:23.831953
350,1000,30,106,0,fps,uniform_co,swap_mutation,0:01:43.228647
350,1000,30,83,0,fps,uniform_co,swap_mutation,0:01:22.655346
350,1000,30,128,0,fps,uniform_co,swap_mutation,0:02:10.504180
350,1000,30,228,0,fps,uniform_co,swap_mutation,0:06:37.218935
350,1000,30,109,0,fps,uniform_co,swap_mutation,0:01:53.022320
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:05:51.980597
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:05:58.084371
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:05:54.491276
350,1000,30,350,4,fps,uniform_co,swap_mutation,0:05:36.983059
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:06:09.160953
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:04:39.975863
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:04:50.193252
350,1000,30,350,4,fps,uniform_co,swap_mutation,0:04:43.134995
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:04:45.743107
350,1000,30,166,0,fps,uniform_co,swap_mutation,0:02:08.380917
350,1000,30,208,0,fps,uniform_co,swap_mutation,0:02:43.577748
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:05:05.623037
350,1000,30,120,0,fps,uniform_co,swap_mutation,0:02:07.732544
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:05:50.385249
350,1000,30,350,4,fps,uniform_co,swap_mutation,0:05:05.161830
350,1000,30,117,0,fps,uniform_co,swap_mutation,0:02:31.534257
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:07:21.740630
350,1000,30,325,0,fps,uniform_co,swap_mutation,0:06:45.372406
350,1000,30,331,0,fps,uniform_co,swap_mutation,0:05:49.119328
350,1000,30,157,0,fps,uniform_co,swap_mutation,0:02:33.912353
350,1000,30,165,0,fps,uniform_co,swap_mutation,0:02:52.055094
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:06:00.669360
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:05:47.375982
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:05:37.936215
350,1000,30,350,4,fps,uniform_co,swap_mutation,0:06:56.904867
350,1000,30,350,2,fps,uniform_co,swap_mutation,0:06:27.991169
350,1000,30,350,6,fps,uniform_co,swap_mutation,0:05:48.522209
350,1000,30,160,0,fps,uniform_co,swap_mutation,0:02:31.443049
350,1000,30,124,0,fps,uniform_co,swap_mutation,0:01:51.887573
