total_generations,population_size,givens,generation_stop,fitness,select,crossover,mutation,time
250,1000,38,82,0,fps,single_point_co,swap_mutation,0:00:50.224411
250,1000,38,250,2,fps,single_point_co,swap_mutation,0:02:35.717192
250,1000,38,174,0,fps,single_point_co,swap_mutation,0:01:50.283377
250,1000,38,132,0,fps,single_point_co,swap_mutation,0:01:25.800643
250,1000,38,74,0,fps,single_point_co,swap_mutation,0:00:49.183109
250,1000,38,73,0,fps,single_point_co,swap_mutation,0:00:46.284229
250,1000,38,70,0,fps,single_point_co,swap_mutation,0:00:44.590780
250,1000,38,250,2,fps,single_point_co,swap_mutation,0:02:41.033452
250,1000,38,79,0,fps,single_point_co,swap_mutation,0:00:50.572188
250,1000,38,90,0,fps,single_point_co,swap_mutation,0:00:59.863873
250,1000,38,79,0,fps,single_point_co,swap_mutation,0:00:50.035408
250,1000,38,250,4,fps,single_point_co,swap_mutation,0:02:41.647328
250,1000,38,74,0,fps,single_point_co,swap_mutation,0:00:47.727287
250,1000,38,61,0,fps,single_point_co,swap_mutation,0:00:40.865751
250,1000,38,103,0,fps,single_point_co,swap_mutation,0:01:14.624350
250,1000,38,250,2,fps,single_point_co,swap_mutation,0:02:51.942061
250,1000,38,250,5,fps,single_point_co,swap_mutation,0:02:48.171005
250,1000,38,250,2,fps,single_point_co,swap_mutation,0:02:44.592145
250,1000,38,250,2,fps,single_point_co,swap_mutation,0:02:45.167887
250,1000,38,44,0,fps,single_point_co,swap_mutation,0:00:29.238848
250,1000,38,69,0,fps,single_point_co,swap_mutation,0:00:45.506601
250,1000,38,66,0,fps,single_point_co,swap_mutation,0:00:43.255891
250,1000,38,74,0,fps,single_point_co,swap_mutation,0:00:48.162774
250,1000,38,250,2,fps,single_point_co,swap_mutation,0:02:43.729575
250,1000,38,66,0,fps,single_point_co,swap_mutation,0:00:49.545823
250,1000,38,215,0,fps,two_points_co,swap_mutation,0:02:32.671551
250,1000,38,250,2,fps,two_points_co,swap_mutation,0:02:56.967306
250,1000,38,250,2,fps,two_points_co,swap_mutation,0:02:58.518548
250,1000,38,72,0,fps,two_points_co,swap_mutation,0:00:51.204426
250,1000,38,75,0,fps,two_points_co,swap_mutation,0:00:55.054310
250,1000,38,128,0,fps,two_points_co,swap_mutation,0:01:31.584081
250,1000,38,97,0,fps,two_points_co,swap_mutation,0:01:10.823444
250,1000,38,63,0,fps,two_points_co,swap_mutation,0:00:45.106039
250,1000,38,73,0,fps,two_points_co,swap_mutation,0:00:52.792291
250,1000,38,70,0,fps,two_points_co,swap_mutation,0:00:50.026985
250,1000,38,147,0,fps,two_points_co,swap_mutation,0:01:45.608874
250,1000,38,210,0,fps,two_points_co,swap_mutation,0:02:30.400261
250,1000,38,44,0,fps,two_points_co,swap_mutation,0:00:33.316490
250,1000,38,66,0,fps,two_points_co,swap_mutation,0:00:47.513325
250,1000,38,180,0,fps,two_points_co,swap_mutation,0:02:07.271231
250,1000,38,66,0,fps,two_points_co,swap_mutation,0:00:47.015983
250,1000,38,62,0,fps,two_points_co,swap_mutation,0:00:43.880417
250,1000,38,105,0,fps,two_points_co,swap_mutation,0:01:12.187569
250,1000,38,81,0,fps,two_points_co,swap_mutation,0:00:58.009125
250,1000,38,48,0,fps,two_points_co,swap_mutation,0:00:33.846892
250,1000,38,105,0,fps,two_points_co,swap_mutation,0:01:13.017613
